LOAN (Off Site Loaner),,A-3-1-14 (B-Stock),,,,,CPSHIP (Customer Property Shipping),EE-1 (main harvest small rack),,IN LAB (In Progress),,SEE_NOTE (Additional Details on Inventory Item by Serial Number),,,,H-9-4 (QUAR (Quarantine)antine),,,,B-4-4 (SHPD),B-2-3 (Stock),,,
MIA (Misplaced),,A-3-1-2 (B-Stock),,,,,SR 1 (Shipping Rack 1 - Customer Return),EE-2 (main harvest small rack),,A (Lab),,,,,,H-9-5 (QUAR (Quarantine)antine),,,,C-11-1 (SHPD),B-2-4 (Stock),,,
QC (Quality Control),,A-3-1-3 (B-Stock),,,,,SR 2 (Shipping Rack 2 - Customer Return),EE-6 (main harvest small rack),,A-10-1 (Lab),,,,,,H-9-6 (QUAR (Quarantine)antine),,,,C-5-3-3 (SHPD),B-2-5 (Stock),,,
"QCOR (Quarantine - Core, not repairable)",,A-3-1-4 (B-Stock),,,,,SR 3 (Shipping Rack 3 - Customer Return),DD (main harvest small rack),,A-10-2 (Lab),,,,,,H-9-7 (QUAR (Quarantine)antine),,,,C-7-2 (SHPD),B-2-6 (Stock),,,
QUAR (Quarantine),,A-3-1-5 (B-Stock),,,,,SR 4 (Shipping Rack 4 - Customer Return),CC-3 (main harvest small rack),,A-10-3 (Lab),,,,,,H-9-8 (QUAR (Quarantine)antine),,,,C-9-3 (SHPD),B-2-7 (Stock),,,
REC (Receiving Inspection),,A-3-1-6 (B-Stock),,,,,,FF-1 (main harvest small rack),,A-10-6-1 (Lab),,,,,,H-10-1 (QUAR (Quarantine)antine),,,,C-9-6 (SHPD),B-2-8 (Stock),,,
SCRP (SCRAP),,A-3-1-7 (B-Stock),,,,,,FF-2 (main harvest small rack),,A-10-7-2 (Lab),,,,,,H-10-2 (QUAR (Quarantine)antine),,,,CC-2 (SHPD),B-3-1 (Stock),,,
SHIP (Shipping),,A-3-1-8 (B-Stock),,,,,,FF-3 (main harvest small rack),,A-1-1 (Lab),,,,,,H-10-3 (QUAR (Quarantine)antine),,,,D-5-3 (SHPD),B-3-2 (Stock),,,
SHPD (Shipped to Customer),,A-3-1-9 (B-Stock),,,,,,EE 4 (Harvest Shelf EE),,A-11-1 (Lab),,,,,,H-10-4 (QUAR (Quarantine)antine),,,,D-5-6 (SHPD),B-3-3 (Stock),,,
STK (Stock),,A-3-2 (B-Stock),,,,,,,,A-1-3 (Lab),,,,,,H-10-5 (QUAR (Quarantine)antine),,,,D-5-6-1 (SHPD),B-3-4 (Stock),,,
VND (Vendor),,A-3-2-1 (B-Stock),,,,,,,,A-3-1 (Lab),,,,,,H-10-6 (QUAR (Quarantine)antine),,,,D-8-4-3 (SHPD),B-3-5 (Stock),,,
VRET (Vendor Return),,A-3-2-10 (B-Stock),,,,,,,,A-3-3 (Lab),,,,,,H-10-7 (QUAR (Quarantine)antine),,,,D-8-6 (SHPD),B-3-6 (Stock),,,
,,A-3-2-11 (B-Stock),,,,,,,,A-3-8-1 (Lab),,,,,,H-10-8 (QUAR (Quarantine)antine),,,,E-10-2 (SHPD),B-3-7 (Stock),,,
,,A-3-2-12 (B-Stock),,,,,,,,A-3-8-2 (Lab),,,,,,H-11-1 (QUAR (Quarantine)antine),,,,E-1-5 (SHPD),B-3-8 (Stock),,,
,,A-3-2-13 (B-Stock),,,,,,,,A-4-1 (Lab),,,,,,H-11-2 (QUAR (Quarantine)antine),,,,E-3-3 (SHPD),B-4-1 (Stock),,,
,,A-3-2-14 (B-Stock),,,,,,,,A-4-2 (Lab),,,,,,H-11-3 (QUAR (Quarantine)antine),,,,E-5-5-11 (SHPD),B-4-2 (Stock),,,
,,A-3-2-2 (B-Stock),,,,,,,,A-4-3 (Lab),,,,,,H-11-4 (QUAR (Quarantine)antine),,,,E-6-2-5 (SHPD),B-4-3 (Stock),,,
,,A-3-2-3 (B-Stock),,,,,,,,A-4-4 (Lab),,,,,,H-11-5 (QUAR (Quarantine)antine),,,,E-7-8 (SHPD),B-4-4 (Stock),,,
,,A-3-2-4 (B-Stock),,,,,,,,A-4-7-1 (Lab),,,,,,H-11-6 (QUAR (Quarantine)antine),,,,F-1-2 (SHPD),B-4-5 (Stock),,,
,,A-3-2-5 (B-Stock),,,,,,,,A-4-8 (Lab),,,,,,H-11-7 (QUAR (Quarantine)antine),,,,F-1-5-1 (SHPD),B-4-6 (Stock),,,
,,A-3-2-6 (B-Stock),,,,,,,,A-4-8-2 (Lab),,,,,,H-11-8 (QUAR (Quarantine)antine),,,,F-3-2 (SHPD),B-4-7 (Stock),,,
,,A-3-2-7 (B-Stock),,,,,,,,A4-D3301 (Lab),,,,,,I-1-1 (QUAR (Quarantine)antine),,,,F-6-5-11 (SHPD),B-4-8 (Stock),,,
,,A-3-2-8 (B-Stock),,,,,,,,A-5-1 (Lab),,,,,,I-1-2 (QUAR (Quarantine)antine),,,,F-6-6-12 (SHPD),B-5-1 (Stock),,,
,,A-3-2-9 (B-Stock),,,,,,,,A-5-3-1 (Lab),,,,,,I-1-3 (QUAR (Quarantine)antine),,,,F-8-4-3 (SHPD),B-5-2 (Stock),,,
,,A-3-3 (B-Stock),,,,,,,,A-5-4 (Lab),,,,,,I-1-4 (QUAR (Quarantine)antine),,,,F-8-5-2 (SHPD),B-5-3 (Stock),,,
,,A-3-3-1 (B-Stock),,,,,,,,A-5-5-10 (Lab),,,,,,I-1-5 (QUAR (Quarantine)antine),,,,F-8-6-13 (SHPD),B-5-4 (Stock),,,
