LOAN (Off Site Loaner),,A-3-1-14 (B-Stock),,,,,CPSHIP (Customer Property Shipping),EE-1 (main harvest small rack),,IN LAB (In Progress),,SEE_NOTE (Additional Details on Inventory Item by Serial Number),,,,H-9-4 (QUAR (Quarantine)antine),,,,B-4-4 (SHPD),B-2-3 (Stock),,,
MIA (Misplaced),,A-3-1-2 (B-Stock),,,,,SR 1 (Shipping Rack 1 - Customer Return),EE-2 (main harvest small rack),,A (Lab),,,,,,H-9-5 (QUAR (Quarantine)antine),,,,C-11-1 (SHPD),B-2-4 (Stock),,,
,,C-2-4-3 (B-Stock),,,,,,,,,,,,,,I-5-3-13 (QUAR (Quarantine)antine),,,,,C-3-1-1 (Stock),,,
,,C-2-4-4 (B-Stock),,,,,,,,,,,,,,I-5-3-14 (QUAR (Quarantine)antine),,,,,C-3-1-2 (Stock),,,
,,C-2-4-5 (B-Stock),,,,,,,,,,,,,,I-5-4-1 (QUAR (Quarantine)antine),,,,,C-3-1-3 (Stock),,,
,,C-2-4-6 (B-Stock),,,,,,,,,,,,,,I-5-4-2 (QUAR (Quarantine)antine),,,,,C-3-1-4 (Stock),,,
,,C-2-4-7 (B-Stock),,,,,,,,,,,,,,I-5-4-3 (QUAR (Quarantine)antine),,,,,C-3-1-5 (Stock),,,
,,C-2-4-8 (B-Stock),,,,,,,,,,,,,,I-5-4-4 (QUAR (Quarantine)antine),,,,,C-3-1-6 (Stock),,,
,,C-2-4-9 (B-Stock),,,,,,,,,,,,,,I-5-4-5 (QUAR (Quarantine)antine),,,,,C-3-1-7 (Stock),,,
,,C-2-5 (B-Stock),,,,,,,,,,,,,,I-5-4-6 (QUAR (Quarantine)antine),,,,,C-3-1-8 (Stock),,,
,,C-2-5-1 (B-Stock),,,,,,,,,,,,,,I-5-4-7 (QUAR (Quarantine)antine),,,,,C-3-1-9 (Stock),,,
,,C-2-5-10 (B-Stock),,,,,,,,,,,,,,I-5-4-8 (QUAR (Quarantine)antine),,,,,C-3-1-10 (Stock),,,
,,C-2-5-11 (B-Stock),,,,,,,,,,,,,,I-5-4-9 (QUAR (Quarantine)antine),,,,,C-3-1-11 (Stock),,,
,,C-2-5-12 (B-Stock),,,,,,,,,,,,,,I-5-4-10 (QUAR (Quarantine)antine),,,,,C-3-1-12 (Stock),,,
,,C-2-5-13 (B-Stock),,,,,,,,,,,,,,I-5-4-11 (QUAR (Quarantine)antine),,,,,C-3-1-13 (Stock),,,
,,C-2-5-14 (B-Stock),,,,,,,,,,,,,,I-5-4-12 (QUAR (Quarantine)antine),,,,,C-3-1-14 (Stock),,,
,,C-2-5-2 (B-Stock),,,,,,,,,,,,,,I-5-4-13 (QUAR (Quarantine)antine),,,,,C-3-2-1 (Stock),,,
,,C-2-5-3 (B-Stock),,,,,,,,,,,,,,I-5-4-14 (QUAR (Quarantine)antine),,,,,C-3-2-2 (Stock),,,
,,C-2-5-4 (B-Stock),,,,,,,,,,,,,,I-5-5-1 (QUAR (Quarantine)antine),,,,,C-3-2-3 (Stock),,,
,,C-2-5-5 (B-Stock),,,,,,,,,,,,,,I-5-5-2 (QUAR (Quarantine)antine),,,,,C-3-2-4 (Stock),,,
,,C-2-5-6 (B-Stock),,,,,,,,,,,,,,I-5-5-3 (QUAR (Quarantine)antine),,,,,C-3-2-5 (Stock),,,
,,C-2-5-7 (B-Stock),,,,,,,,,,,,,,I-5-5-4 (QUAR (Quarantine)antine),,,,,C-3-2-6 (Stock),,,
,,C-2-5-8 (B-Stock),,,,,,,,,,,,,,I-5-5-5 (QUAR (Quarantine)antine),,,,,C-3-2-7 (Stock),,,
,,C-2-5-9 (B-Stock),,,,,,,,,,,,,,I-5-5-6 (QUAR (Quarantine)antine),,,,,C-3-2-8 (Stock),,,
,,C-2-6 (B-Stock),,,,,,,,,,,,,,I-5-5-7 (QUAR (Quarantine)antine),,,,,C-3-2-9 (Stock),,,
,,C-2-6-1 (B-Stock),,,,,,,,,,,,,,I-5-5-8 (QUAR (Quarantine)antine),,,,,C-3-2-10 (Stock),,,
,,C-2-6-10 (B-Stock),,,,,,,,,,,,,,I-5-5-9 (QUAR (Quarantine)antine),,,,,C-3-2-11 (Stock),,,
,,C-2-6-11 (B-Stock),,,,,,,,,,,,,,I-5-5-10 (QUAR (Quarantine)antine),,,,,C-3-2-12 (Stock),,,
,,C-2-6-12 (B-Stock),,,,,,,,,,,,,,I-5-5-11 (QUAR (Quarantine)antine),,,,,C-3-2-13 (Stock),,,
,,C-2-6-13 (B-Stock),,,,,,,,,,,,,,I-5-5-12 (QUAR (Quarantine)antine),,,,,C-3-2-14 (Stock),,,
,,C-2-6-14 (B-Stock),,,,,,,,,,,,,,I-5-5-13 (QUAR (Quarantine)antine),,,,,C-3-3-1 (Stock),,,
,,C-2-6-2 (B-Stock),,,,,,,,,,,,,,I-5-5-14 (QUAR (Quarantine)antine),,,,,C-3-3-2 (Stock),,,
,,C-2-6-3 (B-Stock),,,,,,,,,,,,,,I-5-6-1 (QUAR (Quarantine)antine),,,,,C-3-3-3 (Stock),,,
,,C-2-6-4 (B-Stock),,,,,,,,,,,,,,I-5-6-2 (QUAR (Quarantine)antine),,,,,C-3-3-4 (Stock),,,
,,C-2-6-5 (B-Stock),,,,,,,,,,,,,,I-5-6-3 (QUAR (Quarantine)antine),,,,,C-3-3-5 (Stock),,,
,,C-2-6-6 (B-Stock),,,,,,,,,,,,,,I-5-6-4 (QUAR (Quarantine)antine),,,,,C-3-3-6 (Stock),,,
,,C-2-6-7 (B-Stock),,,,,,,,,,,,,,I-5-6-5 (QUAR (Quarantine)antine),,,,,C-3-3-7 (Stock),,,
,,C-2-6-8 (B-Stock),,,,,,,,,,,,,,I-5-6-6 (QUAR (Quarantine)antine),,,,,C-3-3-8 (Stock),,,
,,C-2-6-9 (B-Stock),,,,,,,,,,,,,,I-5-6-7 (QUAR (Quarantine)antine),,,,,C-3-3-9 (Stock),,,
,,C-2-7 (B-Stock),,,,,,,,,,,,,,I-5-6-8 (QUAR (Quarantine)antine),,,,,C-3-3-10 (Stock),,,
,,C-2-7-1 (B-Stock),,,,,,,,,,,,,,I-5-6-9 (QUAR (Quarantine)antine),,,,,C-3-3-11 (Stock),,,
,,C-2-7-10 (B-Stock),,,,,,,,,,,,,,I-5-6-10 (QUAR (Quarantine)antine),,,,,C-3-3-12 (Stock),,,
,,C-2-7-11 (B-Stock),,,,,,,,,,,,,,I-5-6-11 (QUAR (Quarantine)antine),,,,,C-3-3-13 (Stock),,,
,,C-2-7-12 (B-Stock),,,,,,,,,,,,,,I-5-6-12 (QUAR (Quarantine)antine),,,,,C-3-3-14 (Stock),,,
,,C-2-7-13 (B-Stock),,,,,,,,,,,,,,I-5-6-13 (QUAR (Quarantine)antine),,,,,C-3-4-1 (Stock),,,
,,C-2-7-14 (B-Stock),,,,,,,,,,,,,,I-5-6-14 (QUAR (Quarantine)antine),,,,,C-3-4-2 (Stock),,,
,,C-2-7-2 (B-Stock),,,,,,,,,,,,,,I-5-7-1 (QUAR (Quarantine)antine),,,,,C-3-4-3 (Stock),,,
,,C-2-7-3 (B-Stock),,,,,,,,,,,,,,I-5-7-2 (QUAR (Quarantine)antine),,,,,C-3-4-4 (Stock),,,
,,C-2-7-4 (B-Stock),,,,,,,,,,,,,,I-5-7-3 (QUAR (Quarantine)antine),,,,,C-3-4-5 (Stock),,,
,,C-2-7-5 (B-Stock),,,,,,,,,,,,,,I-5-7-4 (QUAR (Quarantine)antine),,,,,C-3-4-6 (Stock),,,
,,C-2-7-6 (B-Stock),,,,,,,,,,,,,,I-5-7-5 (QUAR (Quarantine)antine),,,,,C-3-4-7 (Stock),,,
,,C-2-7-7 (B-Stock),,,,,,,,,,,,,,I-5-7-6 (QUAR (Quarantine)antine),,,,,C-3-4-8 (Stock),,,
,,C-2-7-8 (B-Stock),,,,,,,,,,,,,,I-5-7-7 (QUAR (Quarantine)antine),,,,,C-3-4-9 (Stock),,,
,,C-2-7-9 (B-Stock),,,,,,,,,,,,,,I-5-7-8 (QUAR (Quarantine)antine),,,,,C-3-4-10 (Stock),,,
,,C-2-8 (B-Stock),,,,,,,,,,,,,,I-5-7-9 (QUAR (Quarantine)antine),,,,,C-3-4-11 (Stock),,,
,,C-2-8-1 (B-Stock),,,,,,,,,,,,,,I-5-7-10 (QUAR (Quarantine)antine),,,,,C-3-4-12 (Stock),,,
,,C-2-8-10 (B-Stock),,,,,,,,,,,,,,I-5-7-11 (QUAR (Quarantine)antine),,,,,C-3-4-13 (Stock),,,
,,C-2-8-11 (B-Stock),,,,,,,,,,,,,,I-5-7-12 (QUAR (Quarantine)antine),,,,,C-3-4-14 (Stock),,,
,,C-2-8-12 (B-Stock),,,,,,,,,,,,,,I-5-7-13 (QUAR (Quarantine)antine),,,,,C-3-5-1 (Stock),,,
,,C-2-8-13 (B-Stock),,,,,,,,,,,,,,I-5-7-14 (QUAR (Quarantine)antine),,,,,C-3-5-2 (Stock),,,
,,C-2-8-14 (B-Stock),,,,,,,,,,,,,,I-5-8-1 (QUAR (Quarantine)antine),,,,,C-3-5-3 (Stock),,,
,,C-2-8-2 (B-Stock),,,,,,,,,,,,,,I-5-8-2 (QUAR (Quarantine)antine),,,,,C-3-5-4 (Stock),,,
,,C-2-8-3 (B-Stock),,,,,,,,,,,,,,I-5-8-3 (QUAR (Quarantine)antine),,,,,C-3-5-5 (Stock),,,
,,C-2-8-4 (B-Stock),,,,,,,,,,,,,,I-5-8-4 (QUAR (Quarantine)antine),,,,,C-3-5-6 (Stock),,,
,,C-2-8-5 (B-Stock),,,,,,,,,,,,,,I-5-8-5 (QUAR (Quarantine)antine),,,,,C-3-5-7 (Stock),,,
,,C-2-8-6 (B-Stock),,,,,,,,,,,,,,I-5-8-6 (QUAR (Quarantine)antine),,,,,C-3-5-8 (Stock),,,
,,C-2-8-7 (B-Stock),,,,,,,,,,,,,,I-5-8-7 (QUAR (Quarantine)antine),,,,,C-3-5-9 (Stock),,,
,,C-2-8-8 (B-Stock),,,,,,,,,,,,,,I-5-8-8 (QUAR (Quarantine)antine),,,,,C-3-5-10 (Stock),,,
,,C-2-8-9 (B-Stock),,,,,,,,,,,,,,I-5-8-9 (QUAR (Quarantine)antine),,,,,C-3-5-11 (Stock),,,
,,C-3-1 (B-Stock),,,,,,,,,,,,,,I-5-8-10 (QUAR (Quarantine)antine),,,,,C-3-5-12 (Stock),,,
,,C-3-1-1 (B-Stock),,,,,,,,,,,,,,I-5-8-11 (QUAR (Quarantine)antine),,,,,C-3-5-13 (Stock),,,
,,C-3-1-10 (B-Stock),,,,,,,,,,,,,,I-5-8-12 (QUAR (Quarantine)antine),,,,,C-3-5-14 (Stock),,,
,,C-3-1-11 (B-Stock),,,,,,,,,,,,,,I-5-8-13 (QUAR (Quarantine)antine),,,,,C-3-6-1 (Stock),,,
,,C-3-1-12 (B-Stock),,,,,,,,,,,,,,I-5-8-14 (QUAR (Quarantine)antine),,,,,C-3-6-2 (Stock),,,
,,C-3-1-13 (B-Stock),,,,,,,,,,,,,,I-6-1-1 (QUAR (Quarantine)antine),,,,,C-3-6-3 (Stock),,,
,,C-3-1-14 (B-Stock),,,,,,,,,,,,,,I-6-1-2 (QUAR (Quarantine)antine),,,,,C-3-6-4 (Stock),,,
,,C-3-1-2 (B-Stock),,,,,,,,,,,,,,I-6-1-3 (QUAR (Quarantine)antine),,,,,C-3-6-5 (Stock),,,
,,C-3-1-3 (B-Stock),,,,,,,,,,,,,,I-6-1-4 (QUAR (Quarantine)antine),,,,,C-3-6-6 (Stock),,,
,,C-3-1-4 (B-Stock),,,,,,,,,,,,,,I-6-1-5 (QUAR (Quarantine)antine),,,,,C-3-6-7 (Stock),,,
,,C-3-1-5 (B-Stock),,,,,,,,,,,,,,I-6-1-6 (QUAR (Quarantine)antine),,,,,C-3-6-8 (Stock),,,
,,C-3-1-6 (B-Stock),,,,,,,,,,,,,,I-6-1-7 (QUAR (Quarantine)antine),,,,,C-3-6-9 (Stock),,,
,,C-3-1-7 (B-Stock),,,,,,,,,,,,,,I-6-1-8 (QUAR (Quarantine)antine),,,,,C-3-6-10 (Stock),,,
,,C-3-1-8 (B-Stock),,,,,,,,,,,,,,I-6-1-9 (QUAR (Quarantine)antine),,,,,C-3-6-11 (Stock),,,
,,C-3-1-9 (B-Stock),,,,,,,,,,,,,,I-6-1-10 (QUAR (Quarantine)antine),,,,,C-3-6-12 (Stock),,,
,,C-3-2 (B-Stock),,,,,,,,,,,,,,I-6-1-11 (QUAR (Quarantine)antine),,,,,C-3-6-13 (Stock),,,
,,C-3-2-1 (B-Stock),,,,,,,,,,,,,,I-6-1-12 (QUAR (Quarantine)antine),,,,,C-3-6-14 (Stock),,,
,,C-3-2-10 (B-Stock),,,,,,,,,,,,,,I-6-1-13 (QUAR (Quarantine)antine),,,,,C-3-7-1 (Stock),,,
,,C-3-2-11 (B-Stock),,,,,,,,,,,,,,I-6-1-14 (QUAR (Quarantine)antine),,,,,C-3-7-2 (Stock),,,
,,C-3-2-12 (B-Stock),,,,,,,,,,,,,,I-6-2-1 (QUAR (Quarantine)antine),,,,,C-3-7-3 (Stock),,,
,,C-3-2-13 (B-Stock),,,,,,,,,,,,,,I-6-2-2 (QUAR (Quarantine)antine),,,,,C-3-7-4 (Stock),,,
,,C-3-2-14 (B-Stock),,,,,,,,,,,,,,I-6-2-3 (QUAR (Quarantine)antine),,,,,C-3-7-5 (Stock),,,
,,C-3-2-2 (B-Stock),,,,,,,,,,,,,,I-6-2-4 (QUAR (Quarantine)antine),,,,,C-3-7-6 (Stock),,,
,,C-3-2-3 (B-Stock),,,,,,,,,,,,,,I-6-2-5 (QUAR (Quarantine)antine),,,,,C-3-7-7 (Stock),,,
,,C-3-2-4 (B-Stock),,,,,,,,,,,,,,I-6-2-6 (QUAR (Quarantine)antine),,,,,C-3-7-8 (Stock),,,
,,C-3-2-5 (B-Stock),,,,,,,,,,,,,,I-6-2-7 (QUAR (Quarantine)antine),,,,,C-3-7-9 (Stock),,,
,,C-3-2-6 (B-Stock),,,,,,,,,,,,,,I-6-2-8 (QUAR (Quarantine)antine),,,,,C-3-7-10 (Stock),,,
,,C-3-2-7 (B-Stock),,,,,,,,,,,,,,I-6-2-9 (QUAR (Quarantine)antine),,,,,C-3-7-11 (Stock),,,
,,C-3-2-8 (B-Stock),,,,,,,,,,,,,,I-6-2-10 (QUAR (Quarantine)antine),,,,,C-3-7-12 (Stock),,,
,,C-3-2-9 (B-Stock),,,,,,,,,,,,,,I-6-2-11 (QUAR (Quarantine)antine),,,,,C-3-7-13 (Stock),,,
,,C-3-3 (B-Stock),,,,,,,,,,,,,,I-6-2-12 (QUAR (Quarantine)antine),,,,,C-3-7-14 (Stock),,,
,,C-3-3-1 (B-Stock),,,,,,,,,,,,,,I-6-2-13 (QUAR (Quarantine)antine),,,,,C-3-8-1 (Stock),,,
,,C-3-3-10 (B-Stock),,,,,,,,,,,,,,I-6-2-14 (QUAR (Quarantine)antine),,,,,C-3-8-2 (Stock),,,
,,C-3-3-11 (B-Stock),,,,,,,,,,,,,,I-6-3-1 (QUAR (Quarantine)antine),,,,,C-3-8-3 (Stock),,,
,,C-3-3-12 (B-Stock),,,,,,,,,,,,,,I-6-3-2 (QUAR (Quarantine)antine),,,,,C-3-8-4 (Stock),,,
,,C-3-3-13 (B-Stock),,,,,,,,,,,,,,I-6-3-3 (QUAR (Quarantine)antine),,,,,C-3-8-5 (Stock),,,
,,C-3-3-14 (B-Stock),,,,,,,,,,,,,,I-6-3-4 (QUAR (Quarantine)antine),,,,,C-3-8-6 (Stock),,,
,,C-3-3-2 (B-Stock),,,,,,,,,,,,,,I-6-3-5 (QUAR (Quarantine)antine),,,,,C-3-8-7 (Stock),,,
,,C-3-3-3 (B-Stock),,,,,,,,,,,,,,I-6-3-6 (QUAR (Quarantine)antine),,,,,C-3-8-8 (Stock),,,
,,C-3-3-4 (B-Stock),,,,,,,,,,,,,,I-6-3-7 (QUAR (Quarantine)antine),,,,,C-3-8-9 (Stock),,,
,,C-3-3-5 (B-Stock),,,,,,,,,,,,,,I-6-3-8 (QUAR (Quarantine)antine),,,,,C-3-8-10 (Stock),,,
,,C-3-3-6 (B-Stock),,,,,,,,,,,,,,I-6-3-9 (QUAR (Quarantine)antine),,,,,C-3-8-11 (Stock),,,
,,C-3-3-7 (B-Stock),,,,,,,,,,,,,,I-6-3-10 (QUAR (Quarantine)antine),,,,,C-3-8-12 (Stock),,,
,,C-3-3-8 (B-Stock),,,,,,,,,,,,,,I-6-3-11 (QUAR (Quarantine)antine),,,,,C-3-8-13 (Stock),,,
,,C-3-3-9 (B-Stock),,,,,,,,,,,,,,I-6-3-12 (QUAR (Quarantine)antine),,,,,C-3-8-14 (Stock),,,
,,C-3-4 (B-Stock),,,,,,,,,,,,,,I-6-3-13 (QUAR (Quarantine)antine),,,,,C-4-1-1 (Stock),,,
,,C-3-4-1 (B-Stock),,,,,,,,,,,,,,I-6-3-14 (QUAR (Quarantine)antine),,,,,C-4-1-2 (Stock),,,
,,C-3-4-10 (B-Stock),,,,,,,,,,,,,,I-6-4-1 (QUAR (Quarantine)antine),,,,,C-4-1-3 (Stock),,,
,,C-3-4-11 (B-Stock),,,,,,,,,,,,,,I-6-4-2 (QUAR (Quarantine)antine),,,,,C-4-1-4 (Stock),,,
,,C-3-4-12 (B-Stock),,,,,,,,,,,,,,I-6-4-3 (QUAR (Quarantine)antine),,,,,C-4-1-5 (Stock),,,
,,C-3-4-13 (B-Stock),,,,,,,,,,,,,,I-6-4-4 (QUAR (Quarantine)antine),,,,,C-4-1-6 (Stock),,,
,,C-3-4-14 (B-Stock),,,,,,,,,,,,,,I-6-4-5 (QUAR (Quarantine)antine),,,,,C-4-1-7 (Stock),,,
,,C-3-4-2 (B-Stock),,,,,,,,,,,,,,I-6-4-6 (QUAR (Quarantine)antine),,,,,C-4-1-8 (Stock),,,
,,C-3-4-3 (B-Stock),,,,,,,,,,,,,,I-6-4-7 (QUAR (Quarantine)antine),,,,,C-4-1-9 (Stock),,,
,,C-3-4-4 (B-Stock),,,,,,,,,,,,,,I-6-4-8 (QUAR (Quarantine)antine),,,,,C-4-1-10 (Stock),,,
,,C-3-4-5 (B-Stock),,,,,,,,,,,,,,I-6-4-9 (QUAR (Quarantine)antine),,,,,C-4-1-11 (Stock),,,
,,C-3-4-6 (B-Stock),,,,,,,,,,,,,,I-6-4-10 (QUAR (Quarantine)antine),,,,,C-4-1-12 (Stock),,,
,,C-3-4-7 (B-Stock),,,,,,,,,,,,,,I-6-4-11 (QUAR (Quarantine)antine),,,,,C-4-1-13 (Stock),,,
,,C-3-4-8 (B-Stock),,,,,,,,,,,,,,I-6-4-12 (QUAR (Quarantine)antine),,,,,C-4-1-14 (Stock),,,
,,C-3-4-9 (B-Stock),,,,,,,,,,,,,,I-6-4-13 (QUAR (Quarantine)antine),,,,,C-4-2-1 (Stock),,,
,,C-3-5 (B-Stock),,,,,,,,,,,,,,I-6-4-14 (QUAR (Quarantine)antine),,,,,C-4-2-2 (Stock),,,
,,C-3-5-1 (B-Stock),,,,,,,,,,,,,,I-6-5-1 (QUAR (Quarantine)antine),,,,,C-4-2-3 (Stock),,,
,,C-3-5-10 (B-Stock),,,,,,,,,,,,,,I-6-5-2 (QUAR (Quarantine)antine),,,,,C-4-2-4 (Stock),,,
,,C-3-5-11 (B-Stock),,,,,,,,,,,,,,I-6-5-3 (QUAR (Quarantine)antine),,,,,C-4-2-5 (Stock),,,
,,C-3-5-12 (B-Stock),,,,,,,,,,,,,,I-6-5-4 (QUAR (Quarantine)antine),,,,,C-4-2-6 (Stock),,,
,,C-3-5-13 (B-Stock),,,,,,,,,,,,,,I-6-5-5 (QUAR (Quarantine)antine),,,,,C-4-2-7 (Stock),,,
,,C-3-5-14 (B-Stock),,,,,,,,,,,,,,I-6-5-6 (QUAR (Quarantine)antine),,,,,C-4-2-8 (Stock),,,
,,C-3-5-2 (B-Stock),,,,,,,,,,,,,,I-6-5-7 (QUAR (Quarantine)antine),,,,,C-4-2-9 (Stock),,,
,,C-3-5-3 (B-Stock),,,,,,,,,,,,,,I-6-5-8 (QUAR (Quarantine)antine),,,,,C-4-2-10 (Stock),,,
,,C-3-5-4 (B-Stock),,,,,,,,,,,,,,I-6-5-9 (QUAR (Quarantine)antine),,,,,C-4-2-11 (Stock),,,
,,C-3-5-5 (B-Stock),,,,,,,,,,,,,,I-6-5-10 (QUAR (Quarantine)antine),,,,,C-4-2-12 (Stock),,,
,,C-3-5-6 (B-Stock),,,,,,,,,,,,,,I-6-5-11 (QUAR (Quarantine)antine),,,,,C-4-2-13 (Stock),,,
,,C-3-5-7 (B-Stock),,,,,,,,,,,,,,I-6-5-12 (QUAR (Quarantine)antine),,,,,C-4-2-14 (Stock),,,
,,C-3-5-8 (B-Stock),,,,,,,,,,,,,,I-6-5-13 (QUAR (Quarantine)antine),,,,,C-4-3-1 (Stock),,,
,,C-3-5-9 (B-Stock),,,,,,,,,,,,,,I-6-5-14 (QUAR (Quarantine)antine),,,,,C-4-3-2 (Stock),,,
,,C-3-6 (B-Stock),,,,,,,,,,,,,,I-6-6-1 (QUAR (Quarantine)antine),,,,,C-4-3-3 (Stock),,,
,,C-3-6-1 (B-Stock),,,,,,,,,,,,,,I-6-6-2 (QUAR (Quarantine)antine),,,,,C-4-3-4 (Stock),,,
,,C-3-6-10 (B-Stock),,,,,,,,,,,,,,I-6-6-3 (QUAR (Quarantine)antine),,,,,C-4-3-5 (Stock),,,
,,C-3-6-11 (B-Stock),,,,,,,,,,,,,,I-6-6-4 (QUAR (Quarantine)antine),,,,,C-4-3-6 (Stock),,,
,,C-3-6-12 (B-Stock),,,,,,,,,,,,,,I-6-6-5 (QUAR (Quarantine)antine),,,,,C-4-3-7 (Stock),,,
,,C-3-6-13 (B-Stock),,,,,,,,,,,,,,I-6-6-6 (QUAR (Quarantine)antine),,,,,C-4-3-8 (Stock),,,
,,C-3-6-14 (B-Stock),,,,,,,,,,,,,,I-6-6-7 (QUAR (Quarantine)antine),,,,,C-4-3-9 (Stock),,,
,,C-3-6-2 (B-Stock),,,,,,,,,,,,,,I-6-6-8 (QUAR (Quarantine)antine),,,,,C-4-3-10 (Stock),,,
,,C-3-6-3 (B-Stock),,,,,,,,,,,,,,I-6-6-9 (QUAR (Quarantine)antine),,,,,C-4-3-11 (Stock),,,
,,C-3-6-4 (B-Stock),,,,,,,,,,,,,,I-6-6-10 (QUAR (Quarantine)antine),,,,,C-4-3-12 (Stock),,,
,,C-3-6-5 (B-Stock),,,,,,,,,,,,,,I-6-6-11 (QUAR (Quarantine)antine),,,,,C-4-3-13 (Stock),,,
,,C-3-6-6 (B-Stock),,,,,,,,,,,,,,I-6-6-12 (QUAR (Quarantine)antine),,,,,C-4-3-14 (Stock),,,
,,C-3-6-7 (B-Stock),,,,,,,,,,,,,,I-6-6-13 (QUAR (Quarantine)antine),,,,,C-4-4-1 (Stock),,,
,,C-3-6-8 (B-Stock),,,,,,,,,,,,,,I-6-6-14 (QUAR (Quarantine)antine),,,,,C-4-4-2 (Stock),,,
,,C-3-6-9 (B-Stock),,,,,,,,,,,,,,I-6-7-1 (QUAR (Quarantine)antine),,,,,C-4-4-3 (Stock),,,
,,C-3-7 (B-Stock),,,,,,,,,,,,,,I-6-7-2 (QUAR (Quarantine)antine),,,,,C-4-4-4 (Stock),,,
,,C-3-7-1 (B-Stock),,,,,,,,,,,,,,I-6-7-3 (QUAR (Quarantine)antine),,,,,C-4-4-5 (Stock),,,
,,C-3-7-10 (B-Stock),,,,,,,,,,,,,,I-6-7-4 (QUAR (Quarantine)antine),,,,,C-4-4-6 (Stock),,,
,,C-3-7-11 (B-Stock),,,,,,,,,,,,,,I-6-7-5 (QUAR (Quarantine)antine),,,,,C-4-4-7 (Stock),,,
,,C-3-7-12 (B-Stock),,,,,,,,,,,,,,I-6-7-6 (QUAR (Quarantine)antine),,,,,C-4-4-8 (Stock),,,
,,C-3-7-13 (B-Stock),,,,,,,,,,,,,,I-6-7-7 (QUAR (Quarantine)antine),,,,,C-4-4-9 (Stock),,,
,,C-3-7-14 (B-Stock),,,,,,,,,,,,,,I-6-7-8 (QUAR (Quarantine)antine),,,,,C-4-4-10 (Stock),,,
,,C-3-7-2 (B-Stock),,,,,,,,,,,,,,I-6-7-9 (QUAR (Quarantine)antine),,,,,C-4-4-11 (Stock),,,
,,C-3-7-3 (B-Stock),,,,,,,,,,,,,,I-6-7-10 (QUAR (Quarantine)antine),,,,,C-4-4-12 (Stock),,,
,,C-3-7-4 (B-Stock),,,,,,,,,,,,,,I-6-7-11 (QUAR (Quarantine)antine),,,,,C-4-4-13 (Stock),,,
,,C-3-7-5 (B-Stock),,,,,,,,,,,,,,I-6-7-12 (QUAR (Quarantine)antine),,,,,C-4-4-14 (Stock),,,
,,C-3-7-6 (B-Stock),,,,,,,,,,,,,,I-6-7-13 (QUAR (Quarantine)antine),,,,,C-4-5-1 (Stock),,,
,,C-3-7-7 (B-Stock),,,,,,,,,,,,,,I-6-7-14 (QUAR (Quarantine)antine),,,,,C-4-5-2 (Stock),,,
,,C-3-7-8 (B-Stock),,,,,,,,,,,,,,I-6-8-1 (QUAR (Quarantine)antine),,,,,C-4-5-3 (Stock),,,
,,C-3-7-9 (B-Stock),,,,,,,,,,,,,,I-6-8-2 (QUAR (Quarantine)antine),,,,,C-4-5-4 (Stock),,,
,,C-3-8 (B-Stock),,,,,,,,,,,,,,I-6-8-3 (QUAR (Quarantine)antine),,,,,C-4-5-5 (Stock),,,
,,C-3-8-1 (B-Stock),,,,,,,,,,,,,,I-6-8-4 (QUAR (Quarantine)antine),,,,,C-4-5-6 (Stock),,,
,,C-3-8-10 (B-Stock),,,,,,,,,,,,,,I-6-8-5 (QUAR (Quarantine)antine),,,,,C-4-5-7 (Stock),,,
,,C-3-8-11 (B-Stock),,,,,,,,,,,,,,I-6-8-6 (QUAR (Quarantine)antine),,,,,C-4-5-8 (Stock),,,
,,C-3-8-12 (B-Stock),,,,,,,,,,,,,,I-6-8-7 (QUAR (Quarantine)antine),,,,,C-4-5-9 (Stock),,,
,,C-3-8-13 (B-Stock),,,,,,,,,,,,,,I-6-8-8 (QUAR (Quarantine)antine),,,,,C-4-5-10 (Stock),,,
,,C-3-8-14 (B-Stock),,,,,,,,,,,,,,I-6-8-9 (QUAR (Quarantine)antine),,,,,C-4-5-11 (Stock),,,
,,C-3-8-2 (B-Stock),,,,,,,,,,,,,,I-6-8-10 (QUAR (Quarantine)antine),,,,,C-4-5-12 (Stock),,,
,,C-3-8-3 (B-Stock),,,,,,,,,,,,,,I-6-8-11 (QUAR (Quarantine)antine),,,,,C-4-5-13 (Stock),,,
,,C-3-8-4 (B-Stock),,,,,,,,,,,,,,I-6-8-12 (QUAR (Quarantine)antine),,,,,C-4-5-14 (Stock),,,
,,C-3-8-5 (B-Stock),,,,,,,,,,,,,,I-6-8-13 (QUAR (Quarantine)antine),,,,,C-4-6-1 (Stock),,,
,,C-3-8-6 (B-Stock),,,,,,,,,,,,,,I-6-8-14 (QUAR (Quarantine)antine),,,,,C-4-6-2 (Stock),,,
,,C-3-8-7 (B-Stock),,,,,,,,,,,,,,I-7-1-1 (QUAR (Quarantine)antine),,,,,C-4-6-3 (Stock),,,
,,C-3-8-8 (B-Stock),,,,,,,,,,,,,,I-7-1-2 (QUAR (Quarantine)antine),,,,,C-4-6-4 (Stock),,,
,,C-3-8-9 (B-Stock),,,,,,,,,,,,,,I-7-1-3 (QUAR (Quarantine)antine),,,,,C-4-6-5 (Stock),,,
,,C-4-1 (B-Stock),,,,,,,,,,,,,,I-7-1-4 (QUAR (Quarantine)antine),,,,,C-4-6-6 (Stock),,,
